   -75.74327000     36.18758800     1.2000     0.0085     0.0085
   -75.74325900     36.18758600     1.1900     0.0084     0.0084
   -75.74324900     36.18758300     1.1800     0.0083     0.0083
   -75.74323800     36.18758000     1.2100     0.0086     0.0086
   -75.74322800     36.18757700     1.2100     0.0086     0.0086
   -75.74321800     36.18757400     1.1900     0.0084     0.0084
   -75.74320800     36.18757100     1.2300     0.0087     0.0087
   -75.74319700     36.18756900     1.2300     0.0087     0.0087
   -75.74318700     36.18756600     1.2500     0.0088     0.0088
   -75.74317700     36.18756300     1.2700     0.0090     0.0090
   -75.74316600     36.18756000     1.2700     0.0090     0.0090
   -75.74315600     36.18755700     1.2800     0.0091     0.0091
   -75.74314600     36.18755500     1.3200     0.0093     0.0093
   -75.74313600     36.18755200     1.2800     0.0091     0.0091
   -75.74312600     36.18754900     1.3100     0.0093     0.0093
   -75.74311600     36.18754600     1.3100     0.0093     0.0093
   -75.74310600     36.18754400     1.3400     0.0095     0.0095
   -75.74309700     36.18754100     1.3300     0.0094     0.0094
   -75.74308800     36.18753800     1.3300     0.0094     0.0094
   -75.74307900     36.18753600     1.3500     0.0095     0.0095
   -75.74307000     36.18753400     1.3500     0.0095     0.0095
   -75.74306000     36.18753100     1.3700     0.0097     0.0097
   -75.74305100     36.18752800     1.3900     0.0098     0.0098
   -75.74304000     36.18752500     1.4000     0.0099     0.0099
   -75.74303000     36.18752200     1.4000     0.0099     0.0099
   -75.74302000     36.18752000     1.4100     0.0100     0.0100
   -75.74301100     36.18751700     1.4300     0.0101     0.0101
   -75.74300200     36.18751500     1.4300     0.0101     0.0101
   -75.74299300     36.18751200     1.4300     0.0101     0.0101
   -75.74297400     36.18750700     1.4500     0.0103     0.0103
   -75.74296500     36.18750500     1.4700     0.0104     0.0104
   -75.74293700     36.18749600     1.5000     0.0106     0.0106
   -75.74291500     36.18749000     1.5200     0.0107     0.0107
   -75.74290500     36.18748700     1.5500     0.0110     0.0110
   -75.74289500     36.18748400     1.5800     0.0112     0.0112
   -75.74288500     36.18748200     1.5800     0.0112     0.0112
   -75.74286600     36.18747600     1.6000     0.0113     0.0113
   -75.74285600     36.18747400     1.6100     0.0114     0.0114
   -75.74284700     36.18747200     1.6400     0.0116     0.0116
   -75.74283800     36.18746900     1.6500     0.0117     0.0117
   -75.74282900     36.18746700     1.6700     0.0118     0.0118
   -75.74282000     36.18746400     1.6700     0.0118     0.0118
   -75.74280900     36.18746100     1.6900     0.0120     0.0120
   -75.74280000     36.18745800     1.7000     0.0120     0.0120
   -75.74278900     36.18745600     1.7300     0.0122     0.0122
   -75.74277900     36.18745200     1.7300     0.0122     0.0122
   -75.74276900     36.18744900     1.7400     0.0123     0.0123
   -75.74275700     36.18744800     1.7600     0.0124     0.0124
   -75.74271200     36.18743500     1.8200     0.0129     0.0129
   -75.74270300     36.18743300     1.8500     0.0131     0.0131
   -75.74269300     36.18743100     1.8600     0.0132     0.0132
   -75.74267500     36.18742600     1.8600     0.0132     0.0132
   -75.74266500     36.18742400     1.9100     0.0135     0.0135
   -75.74265600     36.18742200     1.9000     0.0134     0.0134
   -75.74264500     36.18741900     1.9300     0.0136     0.0136
   -75.74263400     36.18741700     1.9600     0.0139     0.0139
   -75.74262300     36.18741500     1.9600     0.0139     0.0139
   -75.74261300     36.18741200     1.9800     0.0140     0.0140
   -75.74260300     36.18741000     2.0200     0.0143     0.0143
   -75.74259300     36.18740800     2.0200     0.0143     0.0143
   -75.74258300     36.18740600     2.0300     0.0144     0.0144
   -75.74257400     36.18740400     2.0400     0.0144     0.0144
   -75.74256400     36.18740200     2.0600     0.0146     0.0146
   -75.74255400     36.18739900     2.0900     0.0148     0.0148
   -75.74252600     36.18739300     2.1700     0.0153     0.0153
   -75.74251600     36.18739000     2.1800     0.0154     0.0154
   -75.74250600     36.18738800     2.1800     0.0154     0.0154
   -75.74249500     36.18738500     2.1600     0.0153     0.0153
   -75.74248500     36.18738300     2.2100     0.0156     0.0156
   -75.74247600     36.18738100     2.2200     0.0157     0.0157
   -75.74246500     36.18737800     2.2500     0.0159     0.0159
   -75.74245500     36.18737600     2.2500     0.0159     0.0159
   -75.74244600     36.18737400     2.2600     0.0160     0.0160
   -75.74243700     36.18737100     2.3000     0.0163     0.0163
   -75.74242800     36.18736900     2.3100     0.0163     0.0163
   -75.74241900     36.18736700     2.3200     0.0164     0.0164
   -75.74241000     36.18736500     2.3400     0.0165     0.0165
   -75.74240000     36.18736200     2.3500     0.0166     0.0166
   -75.74239000     36.18736000     2.3800     0.0168     0.0168
   -75.74238000     36.18735600     2.4000     0.0170     0.0170
   -75.74236900     36.18735400     2.4300     0.0172     0.0172
   -75.74235900     36.18735100     2.4200     0.0171     0.0171
   -75.74234900     36.18734900     2.4600     0.0174     0.0174
   -75.74233900     36.18734600     2.4800     0.0175     0.0175
   -75.74233000     36.18734400     2.4900     0.0176     0.0176
   -75.74232100     36.18734100     2.5000     0.0177     0.0177
   -75.74231200     36.18733900     2.5200     0.0178     0.0178
   -75.74230300     36.18733700     2.5300     0.0179     0.0179
   -75.74229500     36.18733400     2.5700     0.0182     0.0182
   -75.74228500     36.18733200     2.5800     0.0182     0.0182
   -75.74227600     36.18732900     2.6000     0.0184     0.0184
   -75.74225600     36.18732400     2.6300     0.0186     0.0186
   -75.74224500     36.18732100     2.6700     0.0189     0.0189
   -75.74223500     36.18731800     2.6700     0.0189     0.0189
   -75.74222500     36.18731500     2.7100     0.0192     0.0192
   -75.74221500     36.18731300     2.7100     0.0192     0.0192
