   -75.74380200     36.18773000     1.8800     0.0188
   -75.74379400     36.18772900     1.8800     0.0188
   -75.74378700     36.18772800     1.9300     0.0193
   -75.74377900     36.18772500     1.9500     0.0195
   -75.74375500     36.18772000     2.0300     0.0203
   -75.74374300     36.18771600     2.0600     0.0206
   -75.74372800     36.18771300     2.0600     0.0206
   -75.74371900     36.18771000     2.1000     0.0210
   -75.74371000     36.18770700     2.1500     0.0215
   -75.74370000     36.18770500     2.1500     0.0215
   -75.74369000     36.18770200     2.2000     0.0220
   -75.74368000     36.18770000     2.2200     0.0222
   -75.74367000     36.18769700     2.2600     0.0226
   -75.74366000     36.18769400     2.2700     0.0227
   -75.74365100     36.18769300     2.3000     0.0230
   -75.74364100     36.18769000     2.3200     0.0232
   -75.74363000     36.18768800     2.3100     0.0231
   -75.74362100     36.18768500     2.3500     0.0235
   -75.74361100     36.18768100     2.3400     0.0234
   -75.74360200     36.18767900     2.3700     0.0237
   -75.74359400     36.18767500     2.3500     0.0235
   -75.74358500     36.18767300     2.3300     0.0233
   -75.74357600     36.18767000     2.3100     0.0231
   -75.74356600     36.18766700     2.3000     0.0230
   -75.74355900     36.18766500     2.2700     0.0227
   -75.74355100     36.18766200     2.2900     0.0229
   -75.74354100     36.18765900     2.2600     0.0226
   -75.74353300     36.18765600     2.2700     0.0227
   -75.74352400     36.18765400     2.2500     0.0225
   -75.74351500     36.18765100     2.2100     0.0221
   -75.74350600     36.18764900     2.1800     0.0218
   -75.74349200     36.18764500     2.1700     0.0217
   -75.74348100     36.18764200     2.1300     0.0213
   -75.74346900     36.18764100     2.0900     0.0209
   -75.74346000     36.18763600     2.0200     0.0202
   -75.74344900     36.18763500     2.0100     0.0201
   -75.74343600     36.18762800     2.0200     0.0202
   -75.74342700     36.18762100     2.0000     0.0200
   -75.74341700     36.18761900     2.0100     0.0201
   -75.74340500     36.18762200     1.9400     0.0194
   -75.74339600     36.18762600     1.8400     0.0184
   -75.74339100     36.18762700     1.7000     0.0170
   -75.74338600     36.18762300     1.5200     0.0152
   -75.74338500     36.18762500     1.5700     0.0157
   -75.74336500     36.18761300     1.3800     0.0138
   -75.74335800     36.18761100     1.3300     0.0133
   -75.74334800     36.18760800     1.2900     0.0129
   -75.74333000     36.18760300     1.2500     0.0125
   -75.74331600     36.18760000     1.2300     0.0123
   -75.74330400     36.18759700     1.2500     0.0125
   -75.74329100     36.18759300     1.2200     0.0122
   -75.74328000     36.18759100     1.2200     0.0122
   -75.74327000     36.18758800     1.2000     0.0120
   -75.74325900     36.18758600     1.1900     0.0119
   -75.74324900     36.18758300     1.1800     0.0118
   -75.74323800     36.18758000     1.2100     0.0121
   -75.74322800     36.18757700     1.2100     0.0121
   -75.74321800     36.18757400     1.1900     0.0119
   -75.74320800     36.18757100     1.2300     0.0123
   -75.74319700     36.18756900     1.2300     0.0123
   -75.74318700     36.18756600     1.2500     0.0125
   -75.74317700     36.18756300     1.2700     0.0127
   -75.74316600     36.18756000     1.2700     0.0127
   -75.74315600     36.18755700     1.2800     0.0128
   -75.74314600     36.18755500     1.3200     0.0132
   -75.74313600     36.18755200     1.2800     0.0128
   -75.74312600     36.18754900     1.3100     0.0131
   -75.74311600     36.18754600     1.3100     0.0131
   -75.74310600     36.18754400     1.3400     0.0134
   -75.74309700     36.18754100     1.3300     0.0133
   -75.74308800     36.18753800     1.3300     0.0133
   -75.74307900     36.18753600     1.3500     0.0135
   -75.74307000     36.18753400     1.3500     0.0135
   -75.74306000     36.18753100     1.3700     0.0137
   -75.74305100     36.18752800     1.3900     0.0139
   -75.74304000     36.18752500     1.4000     0.0140
   -75.74303000     36.18752200     1.4000     0.0140
   -75.74302000     36.18752000     1.4100     0.0141
   -75.74301100     36.18751700     1.4300     0.0143
   -75.74300200     36.18751500     1.4300     0.0143
   -75.74299300     36.18751200     1.4300     0.0143
   -75.74297400     36.18750700     1.4500     0.0145
   -75.74296500     36.18750500     1.4700     0.0147
   -75.74293700     36.18749600     1.5000     0.0150
   -75.74291500     36.18749000     1.5200     0.0152
   -75.74290500     36.18748700     1.5500     0.0155
   -75.74289500     36.18748400     1.5800     0.0158
   -75.74288500     36.18748200     1.5800     0.0158
   -75.74286600     36.18747600     1.6000     0.0160
   -75.74285600     36.18747400     1.6100     0.0161
   -75.74284700     36.18747200     1.6400     0.0164
   -75.74283800     36.18746900     1.6500     0.0165
   -75.74282900     36.18746700     1.6700     0.0167
   -75.74282000     36.18746400     1.6700     0.0167
   -75.74280900     36.18746100     1.6900     0.0169
   -75.74280000     36.18745800     1.7000     0.0170
   -75.74278900     36.18745600     1.7300     0.0173
   -75.74277900     36.18745200     1.7300     0.0173
   -75.74276900     36.18744900     1.7400     0.0174
   -75.74275700     36.18744800     1.7600     0.0176
   -75.74271200     36.18743500     1.8200     0.0182
   -75.74270300     36.18743300     1.8500     0.0185
   -75.74269300     36.18743100     1.8600     0.0186
   -75.74267500     36.18742600     1.8600     0.0186
   -75.74266500     36.18742400     1.9100     0.0191
   -75.74265600     36.18742200     1.9000     0.0190
   -75.74264500     36.18741900     1.9300     0.0193
   -75.74263400     36.18741700     1.9600     0.0196
   -75.74262300     36.18741500     1.9600     0.0196
   -75.74261300     36.18741200     1.9800     0.0198
   -75.74260300     36.18741000     2.0200     0.0202
   -75.74259300     36.18740800     2.0200     0.0202
   -75.74258300     36.18740600     2.0300     0.0203
   -75.74257400     36.18740400     2.0400     0.0204
   -75.74256400     36.18740200     2.0600     0.0206
   -75.74255400     36.18739900     2.0900     0.0209
