   211.93763611   1230.99506182     1.2000     0.0120     0.0085     0.0085
   212.94727172   1231.08551341     1.1900     0.0119     0.0084     0.0084
   213.90511191   1231.04289832     1.1800     0.0118     0.0083     0.0083
   214.94858495   1231.02771299     1.2100     0.0121     0.0086     0.0086
   215.90642521   1230.98509812     1.2100     0.0121     0.0086     0.0086
   216.86426552   1230.94248337     1.1900     0.0119     0.0084     0.0084
   217.82210585   1230.89986873     1.2300     0.0123     0.0087     0.0087
   218.83174160   1230.99032103     1.2300     0.0123     0.0087     0.0087
   219.78958200   1230.94770662     1.2500     0.0125     0.0088     0.0088
   220.74742243   1230.90509231     1.2700     0.0127     0.0090     0.0090
   221.79089571   1230.88990784     1.2700     0.0127     0.0090     0.0090
   222.74873621   1230.84729376     1.2800     0.0128     0.0091     0.0091
   223.67273926   1230.91031692     1.3200     0.0132     0.0093     0.0093
   224.63057983   1230.86770305     1.2800     0.0128     0.0091     0.0091
   225.58842043   1230.82508930     1.3100     0.0131     0.0093     0.0093
   226.54626106   1230.78247566     1.3100     0.0131     0.0093     0.0093
   227.47026420   1230.84549924     1.3400     0.0134     0.0095     0.0095
   228.34247209   1230.77545602     1.3300     0.0133     0.0094     0.0094
   229.21468001   1230.70541289     1.3300     0.0133     0.0094     0.0094
   230.05305041   1230.74100695     1.3500     0.0135     0.0095     0.0095
   230.89142082   1230.77660110     1.3500     0.0135     0.0095     0.0095
   231.84926163   1230.73398806     1.3700     0.0137     0.0097     0.0097
   232.72146968   1230.66394530     1.3900     0.0139     0.0098     0.0098
   233.76494337   1230.64876233     1.4000     0.0140     0.0099     0.0099
   234.72278430   1230.60614962     1.4000     0.0140     0.0099     0.0099
   235.64678763   1230.66917411     1.4100     0.0141     0.0100     0.0100
   236.51899580   1230.59913174     1.4300     0.0143     0.0101     0.0101
   237.35736636   1230.63472654     1.4300     0.0143     0.0101     0.0101
   238.22957460   1230.56468435     1.4300     0.0143     0.0101     0.0101
   240.02578630   1230.55766723     1.4500     0.0145     0.0103     0.0103
   240.86415694   1230.59326238     1.4700     0.0147     0.0104     0.0104
   243.56641492   1230.41056714     1.5000     0.0150     0.0106     0.0106
   245.65336312   1230.38020403     1.5200     0.0152     0.0107     0.0107
   246.61120446   1230.33759270     1.5500     0.0155     0.0110     0.0110
   247.56904584   1230.29498147     1.5800     0.0158     0.0112     0.0112
   248.49304947   1230.35800738     1.5800     0.0158     0.0112     0.0112
   250.32309957   1230.24535544     1.6000     0.0160     0.0113     0.0113
   251.24710327   1230.30838165     1.6100     0.0161     0.0114     0.0114
   252.08547418   1230.34397793     1.6400     0.0164     0.0116     0.0116
   252.95768293   1230.27393728     1.6500     0.0165     0.0117     0.0117
   253.79605387   1230.30953373     1.6700     0.0167     0.0118     0.0118
   254.66826268   1230.23949327     1.6700     0.0167     0.0118     0.0118
   255.71173714   1230.22431304     1.6900     0.0169     0.0120     0.0120
   256.58394602   1230.15427277     1.7000     0.0170     0.0120     0.0120
   257.59358267   1230.24472977     1.7300     0.0173     0.0122     0.0122
   258.58526231   1230.09648282     1.7300     0.0173     0.0122     0.0122
   259.54310411   1230.05387296     1.7400     0.0174     0.0123     0.0123
   260.60453573   1230.27739743     1.7600     0.0176     0.0124     0.0124
   264.89790533   1230.13847348     1.8200     0.0182     0.0129     0.0129
   265.73627655   1230.17407113     1.8500     0.0185     0.0131     0.0131
   266.66028058   1230.23709906     1.8600     0.0186     0.0132     0.0132
   268.37086110   1230.20265785     1.8600     0.0186     0.0132     0.0132
   269.29486519   1230.26568607     1.9100     0.0191     0.0135     0.0135
   270.13323649   1230.30128416     1.9000     0.0190     0.0134     0.0134
   271.17671146   1230.28610587     1.9300     0.0193     0.0136     0.0136
   272.18634841   1230.37656464     1.9600     0.0196     0.0139     0.0139
   273.19598537   1230.46702354     1.9600     0.0196     0.0139     0.0139
   274.15382761   1230.42441536     1.9800     0.0198     0.0140     0.0140
   275.07783181   1230.48744422     2.0200     0.0202     0.0143     0.0143
   276.00183602   1230.55047318     2.0200     0.0202     0.0143     0.0143
   276.92584024   1230.61350225     2.0300     0.0203     0.0144     0.0144
   277.76421168   1230.64910111     2.0400     0.0204     0.0144     0.0144
   278.68821593   1230.71213037     2.0600     0.0206     0.0146     0.0146
   279.64605833   1230.66952282     2.0900     0.0209     0.0148     0.0148
   282.24680565   1230.80375083     2.1700     0.0217     0.0153     0.0153
   283.20464816   1230.76114370     2.1800     0.0218     0.0154     0.0154
   284.12865252   1230.82417356     2.1800     0.0218     0.0154     0.0154
   285.17212789   1230.80899702     2.1600     0.0216     0.0153     0.0153
   286.09613229   1230.87202710     2.2100     0.0221     0.0156     0.0156
   286.93450390   1230.90762688     2.2200     0.0222     0.0157     0.0157
   287.97797936   1230.89245069     2.2500     0.0225     0.0159     0.0159
   288.90198381   1230.95548109     2.2500     0.0225     0.0159     0.0159
   289.74035548   1230.99108115     2.2600     0.0226     0.0160     0.0160
   290.61256542   1230.92104444     2.3000     0.0230     0.0163     0.0163
   291.45093713   1230.95664468     2.3100     0.0231     0.0163     0.0163
